[2025-06-14 21:31:07] [INFO    ] discord.client: logging in using static token
[2025-06-14 21:31:08] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'READY', 's': 1, 'op': 0, 'd': {'v': 10, 'user_settings': {}, 'user': {'verified': True, 'username': 'Testing Bot', 'primary_guild': None, 'mfa_enabled': True, 'id': '1383606004209418340', 'global_name': None, 'flags': 0, 'email': None, 'discriminator': '4879', 'clan': None, 'bot': True, 'avatar': '3d4c2522478601edd569a4b4e625ca1c'}, 'session_type': 'normal', 'session_id': '40d8a559039747ca84144cfdc5ed9e6a', 'resume_gateway_url': 'wss://gateway-us-east1-b.discord.gg', 'relationships': [], 'private_channels': [], 'presences': [], 'guilds': [{'unavailable': True, 'id': '1383138424831082506'}], 'guild_join_requests': [], 'geo_ordered_rtc_regions': ['newark', 'us-east', 'us-central', 'atlanta', 'us-south'], 'game_relationships': [], 'auth': {}, 'application': {'id': '1383606004209418340', 'flags': 8945664}, '_trace': ['["gateway-prd-us-east1-b-7klz",{"micros":68074,"calls":["id_created",{"micros":616,"calls":[]},"session_lookup_time",{"micros":1679,"calls":[]},"session_lookup_finished",{"micros":20,"calls":[]},"discord-sessions-prd-2-118",{"micros":64284,"calls":["start_session",{"micros":58391,"calls":["discord-api-rpc-f55bfd467-hsncw",{"micros":47685,"calls":["get_user",{"micros":8241},"get_guilds",{"micros":6365},"send_scheduled_deletion_message",{"micros":17},"guild_join_requests",{"micros":10},"authorized_ip_coro",{"micros":13},"pending_payments",{"micros":1420},"apex_user_experiments",{"micros":10},"user_activities",{"micros":2},"played_application_ids",{"micros":2}]}]},"starting_guild_connect",{"micros":39,"calls":[]},"presence_started",{"micros":318,"calls":[]},"guilds_started",{"micros":68,"calls":[]},"lobbies_started",{"micros":1,"calls":[]},"guilds_connect",{"micros":1,"calls":[]},"presence_connect",{"micros":5449,"calls":[]},"connect_finished",{"micros":5452,"calls":[]},"build_ready",{"micros":13,"calls":[]},"clean_ready",{"micros":0,"calls":[]},"optimize_ready",{"micros":1,"calls":[]},"split_ready",{"micros":0,"calls":[]}]}]}]']}}
[2025-06-14 21:31:08] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-06-14 21:31:08] [INFO    ] discord.gateway: Shard ID None has connected to Gateway (Session ID: 40d8a559039747ca84144cfdc5ed9e6a).
[2025-06-14 21:31:08] [DEBUG   ] discord.client: Dispatching event connect
[2025-06-14 21:31:08] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_CREATE', 's': 2, 'op': 0, 'd': {'max_video_channel_users': 25, 'system_channel_id': '1383138425351180422', 'channels': [{'version': 1749836298091, 'type': 4, 'position': 0, 'permission_overwrites': [], 'name': 'Text Channels', 'id': '1383138425351180420', 'flags': 0}, {'version': 1749836298102, 'type': 4, 'position': 0, 'permission_overwrites': [], 'name': 'Voice Channels', 'id': '1383138425351180421', 'flags': 0}, {'version': 1749838659981, 'type': 0, 'topic': '', 'theme_color': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [], 'parent_id': '1383138425351180420', 'nsfw': False, 'name': 'bitcoin-chat-immutable', 'last_message_id': '1383613990906892348', 'id': '1383138425351180422', 'icon_emoji': {'name': '👋', 'id': None}, 'flags': 0}, {'version': 1749836298141, 'user_limit': 0, 'type': 2, 'rtc_region': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [], 'parent_id': '1383138425351180421', 'name': 'General', 'last_message_id': None, 'id': '1383138425351180423', 'icon_emoji': {'name': '🎙', 'id': None}, 'flags': 0, 'bitrate': 64000}, {'version': 1749838914332, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 1, 'permission_overwrites': [], 'parent_id': '1383138425351180420', 'nsfw': False, 'name': 'testing-channel', 'last_message_id': '1383619541363331193', 'id': '1383149398694952991', 'flags': 0}], 'joined_at': '2025-06-15T01:08:01.647027+00:00', 'profile': None, 'stickers': [], 'preferred_locale': 'en-US', 'home_header': None, 'afk_timeout': 300, 'large': False, 'id': '1383138424831082506', 'name': 'Test Server', 'latest_onboarding_question_id': None, 'owner_id': '243878903834214400', 'premium_progress_bar_enabled': False, 'max_members': 500000, 'max_stage_video_channel_users': 50, 'soundboard_sounds': [], 'threads': [], 'icon': None, 'vanity_url_code': None, 'stage_instances': [], 'premium_features': None, 'mfa_level': 0, 'guild_scheduled_events': [], 'discovery_splash': None, 'moderator_reporting': None, 'nsfw': False, 'description': None, 'hub_type': None, 'verification_level': 0, 'member_count': 4, 'activity_instances': [], 'members': [{'user': {'username': 'Testing Bot', 'public_flags': 0, 'primary_guild': None, 'id': '1383606004209418340', 'global_name': None, 'display_name': None, 'discriminator': '4879', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': '3d4c2522478601edd569a4b4e625ca1c'}, 'roles': ['1383613990105780337'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-06-15T01:08:01.647027+00:00', 'flags': 1, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}], 'premium_subscription_count': 0, 'nsfw_level': 0, 'incidents_data': None, 'unavailable': False, 'premium_tier': 0, 'features': [], 'voice_states': [], 'safety_alerts_channel_id': None, 'public_updates_channel_id': None, 'application_id': None, 'splash': None, 'presences': [], 'emojis': [], 'application_command_counts': {}, 'inventory_settings': None, 'default_message_notifications': 0, 'rules_channel_id': None, 'explicit_content_filter': 0, 'lazy': True, 'version': 1749838902984, 'afk_channel_id': None, 'embedded_activities': [], 'roles': [{'version': 1749836298066, 'unicode_emoji': None, 'tags': {}, 'position': 0, 'permissions': '2248473465835073', 'name': '@everyone', 'mentionable': False, 'managed': False, 'id': '1383138424831082506', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1749836329189, 'unicode_emoji': None, 'tags': {'bot_id': '1383135784709787778'}, 'position': 1, 'permissions': '564376352713792', 'name': 'Satoshi', 'mentionable': False, 'managed': True, 'id': '1383138555664142389', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1749949681608, 'unicode_emoji': None, 'tags': {'bot_id': '1383606004209418340'}, 'position': 1, 'permissions': '8', 'name': 'Testing Bot', 'mentionable': False, 'managed': True, 'id': '1383613990105780337', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}], 'banner': None, 'system_channel_flags': 0, 'region': 'deprecated'}}
[2025-06-14 21:31:08] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-06-14 21:31:08] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_MEMBERS_CHUNK', 's': 3, 'op': 0, 'd': {'nonce': '793673ddc0f800be668ccf5b0496c767', 'members': [{'user': {'username': 'waffleboi999', 'public_flags': 0, 'primary_guild': None, 'id': '243878903834214400', 'global_name': 'Waffleboi999', 'display_name': 'Waffleboi999', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': 'd90865ee486632fd613bbc01eb9b42ed'}, 'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-06-13T17:38:17.966000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'marina_ck', 'public_flags': 0, 'primary_guild': None, 'id': '704511631589245080', 'global_name': 'marina', 'display_name': 'marina', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': '7dcb7c12311424cc154043ede7686b40'}, 'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-06-14T20:18:25.723820+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'Satoshi', 'public_flags': 0, 'primary_guild': None, 'id': '1383135784709787778', 'global_name': None, 'display_name': None, 'discriminator': '3683', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': 'c650f09ff27a9680d02bd3af8c7395a5'}, 'roles': ['1383138555664142389'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-06-13T17:38:49.205066+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'Testing Bot', 'public_flags': 0, 'primary_guild': None, 'id': '1383606004209418340', 'global_name': None, 'display_name': None, 'discriminator': '4879', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': '3d4c2522478601edd569a4b4e625ca1c'}, 'roles': ['1383613990105780337'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-06-15T01:08:01.647027+00:00', 'flags': 1, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}], 'guild_id': '1383138424831082506', 'chunk_index': 0, 'chunk_count': 1}}
[2025-06-14 21:31:08] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-06-14 21:31:08] [DEBUG   ] discord.state: Processed a chunk for 4 members in guild ID 1383138424831082506.
[2025-06-14 21:31:10] [DEBUG   ] discord.client: Dispatching event guild_available
[2025-06-14 21:31:10] [DEBUG   ] discord.client: Dispatching event ready
[2025-06-14 21:31:11] [DEBUG   ] discord.http: PUT https://discord.com/api/v10/applications/1383606004209418340/commands with [{"name":"last_active","description":"Find the last time a member was active in the current channel.","type":1,"options":[{"type":6,"name":"member","description":"…","required":true}],"nsfw":false,"dm_permission":true,"default_member_permissions":null,"contexts":null,"integration_types":null}] has returned 200
[2025-06-14 21:31:11] [DEBUG   ] discord.http: PUT /applications/{application_id}/commands has found its initial rate limit bucket hash (3e32a240d3716487d7d8f6dae6c54f6b).
[2025-06-14 21:31:11] [DEBUG   ] discord.http: PUT https://discord.com/api/v10/applications/1383606004209418340/commands has received [{'id': '1383614483167051816', 'application_id': '1383606004209418340', 'version': '1383619431791595680', 'default_member_permissions': None, 'type': 1, 'name': 'last_active', 'name_localizations': None, 'description': 'Find the last time a member was active in the current channel.', 'description_localizations': None, 'dm_permission': True, 'contexts': None, 'integration_types': [0, 1], 'options': [{'type': 6, 'name': 'member', 'name_localizations': None, 'description': '…', 'description_localizations': None, 'required': True}], 'nsfw': False}]
[2025-06-14 21:31:11] [DEBUG   ] discord.http: GET https://discord.com/api/v10/channels/1383138425351180422/messages with None has returned 200
[2025-06-14 21:31:11] [DEBUG   ] discord.http: GET /channels/{channel_id}/messages has found its initial rate limit bucket hash (479c05630b7b353bb5c63f707eeef2ee).
